"TMDB_ID","DID"
859,3224
243938,3227
9788,3227
222899,3227
23048,3227
244,3238
244,3239
245,3288
18239,3288
2105,3288
2268,3288
39451,3289
144340,3289
245,3289
2105,3289
1901,3289
24418,3289
7211,3290
71864,3290
13971,3310
2539,3388
2898,3388
42888,3388
813,3415
8764,3415
9896,3415
6520,3415
251,3415
45094,3417
252,3451
2787,3506
805,3556
829,3556
423,3556
257,3556
622,3556
11439,3556
72113,3556
36648,3893
13788,3893
64635,3950
834,3950
1571,3950
277,3950
12437,3964
1850,3974
279,3974
510,3974
1630,3974
52451,4014
76649,4014
10483,4014
1576,4014
395,4014
8413,4014
9425,4014
9312,4014
71679,4014
35791,4014
497,4027
278,4027
5876,4027
10158,4037
288,4065
289,4109
87496,4135
4958,4135
547,4135
293,4135
11450,4135
4515,4135
311,4385
422,4415
4816,4429
308,4429
883,4429
152603,4429
922,4429
121826,4483
9273,4489
11676,4489
9907,4489
2698,4499
9327,4499
10312,4499
1624,4499
310,4499
3049,4499
314,4586
928,4600
45650,4600
927,4600
11551,4600
2614,4600
11974,4600
10715,4600
9872,4600
8469,4610
9602,4610
814,4610
8388,4610
1621,4610
306,4610
525,4610
50204,4610
9476,4723
109410,4723
2112,4723
87825,4746
9759,4755
19912,4755
326,4755
9358,4755
332,4759
7345,4762
4995,4762
8051,4762
334,4762
171274,4762
68722,4762
338,4780
783,4786
10435,4786
5902,4786
2023,4945
1771,4945
8844,4945
331,4945
7978,4945
13466,4945
9354,4945
10249,4945
11906,4955
746,4956
1278,4956
343,4964
1440,5010
11645,5026
10925,5045
5491,5058
14306,5065
82696,5065
350,5065
73937,5065
12572,5125
4234,5140
4233,5140
4232,5140
377,5140
11596,5140
41446,5140
2266,5140
11460,5140
41154,5174
2758,5174
607,5174
2907,5174
8487,5174
8012,5174
608,5174
9530,5174
2266,5216
133694,5216
711,5216
1807,5216
489,5216
10139,5216
11864,5231
9772,5231
387,5231
652,5231
9386,5231
6950,5231
2133,5231
503,5231
925,5281
1883,5281
388,5281
1429,5281
87516,5281
81025,5306
228194,5306
112949,5306
1587,5306
1715,5306
22971,5306
392,5306
9681,5306
28178,5306
2288,5342
37247,5342
3525,5342
11000,5342
10395,5342
6538,5342
398,5345
87492,5345
60308,5345
231576,5367
401,5367
290542,5369
408,5446
3170,5446
9437,5501
204082,5501
11329,5501
12103,5501
808,5524
411,5524
809,5524
2454,5524
3132,5572
9833,5572
1547,5572
1551,5572
8224,5572
1817,5572
415,5572
70578,5572
37094,5572
3594,5572
414,5572
10731,5572
1645,5572
137321,5575
1923,5602
985,5602
483,5602
638,5602
793,5602
841,5602
1955,5602
404,5602
1018,5602
83666,5655
421,5655
10315,5655
9428,5655
120467,5655
6418,5655
11545,5655
13685,5655
4538,5655
10707,5656
121986,5656
756,5690
3170,5690
49948,5690
3170,5691
756,5691
10398,5696
403,5696
425,5713
9928,5713
950,5714
46195,5714
8355,5714
9928,5714
425,5714
172385,5714
433,5834
12335,5834
12572,5872
431,5877
37707,5877
2266,5877
10133,5877
166271,5877
438,5917
492,5953
16523,5953
152601,5953
2757,5953
8461,6011
440,6037
42684,6037
440,6038
42684,6038
9349,6046
2164,6046
602,6046
929,6046
117251,6046
2024,6046
14161,6046
61891,6046
7840,6046
435,6046
13291,6047
451,6111
8871,6159
2619,6159
847,6159
10328,6159
2924,6159
568,6159
3595,6159
11499,6159
13448,6159
591,6159
921,6159
453,6159
44564,6159
96721,6159
11259,6159
454,6201
64682,6201
6972,6201
824,6201
2266,6220
455,6220
12689,6220
891,6349
4477,6349
9944,6349
76544,6384
1381,6431
86834,6431
44214,6431
12163,6431
641,6431
475,6448
8592,6449
59965,6482
8292,6482
584,6482
479,6482
650,6482
12572,6495
12405,6508
15739,6593
3090,6593
963,6593
488,6593
797,6648
12102,6729
150117,6733
816,6737
817,6737
1597,6737
77953,6737
693,6737
818,6737
38778,6737
13007,6767
18480,6767
496,6767
76493,6767
9952,6818
11699,6818
504,6884
38357,7017
1537,7017
509,7017
122906,7018
508,7018
18947,7018
13932,7087
10386,7087
9806,7087
2062,7087
56292,7087
13595,7145
1257,7145
2752,7145
9292,7145
2640,7145
9691,7187
9340,7187
8834,7187
794,7187
526,7187
9562,7187
942,7187
943,7187
9647,7187
1924,7187
9359,7187
941,7187
944,7187
2207,7187
19959,7213
296,7213
3536,7213
9433,7256
11679,7256
2043,7256
1738,7256
62630,7256
36669,7256
4478,7270
2291,7270
535,7270
2251,7270
10998,7270
11451,7312
533,7313
532,7314
7443,7314
531,7314
530,7314
533,7314
11431,7395
8467,7395
11543,7395
9038,7395
9889,7395
12610,7395
48988,7395
76489,7395
100042,7395
2123,7395
1792,7395
544,7395
11543,7396
12610,7396
8467,7396
87818,7396
544,7396
1792,7396
76489,7396
2123,7396
48988,7396
9038,7396
9889,7396
100042,7396
11431,7396
116745,7399
7446,7399
9398,7399
9894,7399
2770,7409
4547,7467
8077,7467
807,7467
550,7467
2649,7467
1949,7467
37799,7467
65754,7467
4922,7467
210577,7467
551,7501
16871,7623
559,7623
558,7623
68728,7623
2046,7623
764,7623
766,7623
12106,7623
765,7623
9556,7623
557,7623
10304,7727
576,7767
1734,7775
564,7775
7131,7775
14869,7775
179826,7775
240916,7791
10215,7791
9486,7791
9989,7791
4858,7832
118289,7832
73499,7865
49013,7879
9487,7879
863,7879
862,7879
920,7879
7484,7881
13930,7883
11353,7908
11639,7908
10276,7908
10776,7908
2196,7908
9890,7908
11371,7908
920,7911
13413,7929
213121,7929
13929,7930
13042,8010
140420,8020
73723,8023
175574,8029
20533,8029
12222,8029
37710,8193
3172,8246
123105,8246
801,8246
819,8246
8984,8246
380,8246
586,8246
10153,8246
588,8296
11362,8300
8367,8300
9804,8300
9044,8300
1880,8328
9387,8328
141043,8392
595,8482
3114,8500
11697,8500
995,8500
8338,8557
1985,8557
83770,8574
9009,8574
2266,8574
961,8635
6844,8636
60747,8684
72710,8685
9296,8685
1830,8685
782,8685
49530,8685
112336,8686
619,8843
10357,8843
12160,8844
6171,8844
2978,8858
620,8858
6280,8858
11566,8858
