"TMDB_ID","GENRE_NAME"
1593,"Fantasy"
1852,"Drama"
1852,"History"
1852,"Thriller"
1262,"Fantasy"
1262,"Drama"
1262,"Comedy"
1262,"Romance"
82,"Action"
82,"Adventure"
82,"Crime"
82,"Thriller"
1402,"Drama"
9293,"Comedy"
9293,"Romance"
9906,"Fantasy"
9906,"Adventure"
9906,"Animation"
9906,"Comedy"
9906,"Family"
1948,"Action"
1948,"Thriller"
1948,"Crime"
5289,"Drama"
5289,"Action"
5289,"Crime"
9907,"Animation"
9907,"Comedy"
9907,"Family"
9762,"Music"
9762,"Drama"
9762,"Romance"
9762,"Crime"
7859,"Drama"
9788,"Comedy"
1491,"Fantasy"
1491,"Drama"
1491,"Thriller"
1491,"Romance"
1165,"Drama"
9988,"Comedy"
11652,"Drama"
11227,"Romance"
11227,"Comedy"
11227,"Drama"
11227,"Fantasy"
9708,"Mystery"
9708,"Thriller"
9708,"Horror"
9954,"Adventure"
9954,"Fantasy"
9954,"Horror"
9954,"Action"
9954,"Thriller"
9954,"Science Fiction"
7512,"Adventure"
7512,"Science Fiction"
7512,"Comedy"
1381,"Drama"
1381,"Adventure"
1381,"Science Fiction"
1381,"Romance"
9676,"Drama"
9766,"Action"
9766,"Adventure"
9766,"Crime"
9766,"Drama"
1579,"Action"
9664,"Action"
9664,"Adventure"
9664,"Drama"
9664,"History"
9664,"Romance"
9664,"War"
12094,"Action"
12094,"Comedy"
12094,"Documentary"
496,"Comedy"
4643,"Action"
7484,"Adventure"
7484,"Animation"
7484,"Family"
1422,"Drama"
1422,"Thriller"
1422,"Crime"
10781,"Horror"
9794,"Comedy"
9794,"Romance"
9978,"Adventure"
9978,"Action"
9978,"Family"
1975,"Horror"
1975,"Thriller"
8975,"Action"
8975,"Adventure"
8975,"Drama"
8975,"Thriller"
1440,"Romance"
1440,"Drama"
1523,"Drama"
9693,"Drama"
9693,"Action"
9693,"Thriller"
9693,"Science Fiction"
1124,"Drama"
1124,"Mystery"
1124,"Thriller"
3683,"War"
3683,"Drama"
3683,"History"
214,"Horror"
214,"Thriller"
214,"Crime"
14620,"Drama"
14620,"Science Fiction"
14620,"Thriller"
11619,"Adventure"
11619,"Animation"
11619,"Comedy"
11619,"Family"
1427,"Crime"
1427,"Fantasy"
1427,"Drama"
13767,"Comedy"
13767,"Family"
13767,"Adventure"
9726,"Comedy"
9726,"Drama"
9726,"Romance"
36557,"Adventure"
36557,"Action"
36557,"Thriller"
9836,"Animation"
9836,"Comedy"
9836,"Family"
9836,"Music"
7551,"Action"
7551,"Thriller"
7551,"Science Fiction"
1581,"Comedy"
1581,"Romance"
